rank,title,rating,rating_people,quote
1,肖申克的救赎,9.7,3300250,希望让人自由。
2,霸王别姬,9.6,2435327,风华绝代。
3,泰坦尼克号,9.5,2511226,失去的才是永恒的。 
4,阿甘正传,9.5,2440759,一部美国近现代史。
5,千与千寻,9.4,2549503,最好的宫崎骏，最好的久石让。 
6,星际穿越,9.4,2197807,爱是一种力量，让我们超越时空感知它的存在。
7,美丽人生,9.5,1488605,最美的谎言。
8,这个杀手不太冷,9.4,2561730,怪蜀黍和小萝莉不得不说的故事。
9,盗梦空间,9.4,2335801,诺兰给了我们一场无法盗取的梦。
10,楚门的世界,9.4,2031047,如果再也不能见到你，祝你早安，午安，晚安。
11,辛德勒的名单,9.5,1252315,拯救一个人，就是拯救整个世界。
12,忠犬八公的故事,9.4,1549517,永远都不能忘记你所爱的人。
13,海上钢琴师,9.3,1887571,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
14,疯狂动物城,9.3,2333809,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
15,三傻大闹宝莱坞,9.2,2087468,英俊版憨豆，高情商版谢耳朵。
16,机器人总动员,9.3,1501466,小瓦力，大人生。
17,放牛班的春天,9.3,1480473,天籁一般的童声，是最接近上帝的存在。 
18,无间道,9.3,1573637,香港电影史上永不过时的杰作。
19,控方证人,9.6,750322,比利·怀德满分作品。
20,寻梦环游记,9.1,2003048,死亡不是真的逝去，遗忘才是永恒的消亡。
21,大话西游之大圣娶亲,9.2,1716698,一生所爱。
22,熔炉,9.3,1040124,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
23,触不可及,9.3,1302828,满满温情的高雅喜剧。
24,教父,9.3,1113540,千万不要记恨你的对手，这样会让你失去理智。
25,末代皇帝,9.3,1034791,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
26,哈利·波特与魔法石,9.2,1431756,童话世界的开端。
27,当幸福来敲门,9.1,1695555,平民励志片。 
28,龙猫,9.2,1417674,人人心中都有个龙猫，童年就永远不会消失。
29,活着,9.3,975920,张艺谋最好的电影。
30,怦然心动,9.1,2060985,真正的幸福是来自内心深处。
31,蝙蝠侠：黑暗骑士,9.2,1198792,无尽的黑暗。
32,指环王3：王者无敌,9.3,915474,史诗的终章。
33,我不是药神,9.0,2361311,对我们国家而言，这样的电影多一部是一部。
34,乱世佳人,9.3,800961,Tomorrow is another day.
35,让子弹飞,9.0,1929437,你给我翻译翻译，神马叫做TMD的惊喜。
36,飞屋环游记,9.1,1508981,最后那些最无聊的事情，才是最值得怀念的。 
37,哈尔的移动城堡,9.1,1300369,带着心爱的人在天空飞翔。
38,十二怒汉,9.4,582904,1957年的理想主义。 
39,海蒂和爷爷,9.3,790137,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
40,素媛,9.3,780405,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
41,猫鼠游戏,9.1,1219230,骗子大师和执著警探的你追我跑故事。 
42,天空之城,9.2,1014360,对天空的追逐，永不停止。 
43,鬼子来了,9.3,719502,对敌人的仁慈，就是对自己残忍。
44,摔跤吧！爸爸,9.0,1754398,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
45,少年派的奇幻漂流,9.1,1495886,瑰丽壮观、无人能及的冒险之旅。
46,钢琴家,9.3,754581,
47,死亡诗社,9.2,890772,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
48,指环王2：双塔奇兵,9.2,862370,承前启后的史诗篇章。
49,大话西游之月光宝盒,9.0,1372509,
50,绿皮书,8.9,1903882,去除成见，需要勇气。
51,何以为家,9.1,1167370,凝视卑弱生命，用电影改变命运。
52,闻香识女人,9.1,1029139,
53,大闹天宫,9.4,513303,
54,黑客帝国,9.1,956459,
55,指环王1：护戒使者,9.1,965797,
56,罗马假日,9.1,1053015,
57,教父2,9.3,644668,
58,狮子王,9.1,966511,
59,天堂电影院,9.2,745009,
60,饮食男女,9.2,731393,
61,辩护人,9.2,660844,电影的现实意义大过电影本身。
62,本杰明·巴顿奇事,9.0,1111101,在时间之河里感受溺水之苦。
63,搏击俱乐部,9.0,982938,
64,美丽心灵,9.1,857282,
65,穿条纹睡衣的男孩,9.2,645408,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
66,哈利·波特与死亡圣器(下),9.0,976927,10年的完美句点。
67,两杆大烟枪,9.1,682508,
68,情书,8.9,1334559,
69,功夫,8.9,1346386,警恶惩奸，维护世界和平这个任务就交给你了，好吗？
70,窃听风暴,9.2,635547,别样人生。
71,音乐之声,9.1,688238,
72,哈利·波特与阿兹卡班的囚徒,9.0,897754,不一样的导演，不一样的哈利·波特。
73,阿凡达,8.8,1593962,绝对意义上的美轮美奂。
74,西西里的美丽传说,8.9,1098940,
75,看不见的客人,8.8,1449566,你以为你以为的就是你以为的。
76,拯救大兵瑞恩,9.1,730103,
77,沉默的羔羊,8.9,1022790,
78,小鞋子,9.2,470525,
79,蝴蝶效应,8.9,1075385,人的命运被自己瞬间的抉择改变。
80,布达佩斯大饭店,8.9,1092618,小清新的故事里注入了大历史的情怀。
81,还有明天,9.3,380975,
82,飞越疯人院,9.1,608911,
83,禁闭岛,8.9,1121727,昔日翩翩少年，今日大腹便便。
84,心灵捕手,9.0,820332,
85,致命魔术,8.9,969910,孪生蝙蝠侠大战克隆金刚狼。
86,低俗小说,8.9,966477,
87,哈利·波特与密室,8.9,924476,
88,一一,9.1,519605,
89,超脱,9.0,729065,穷尽一生，我们要学会的，不过是彼此拥抱。
90,喜剧之王,8.8,1103598,
91,杀人回忆,8.9,844737,
92,致命ID,8.9,957807,
93,摩登时代,9.3,349896,
94,春光乍泄,9.0,713826,
95,加勒比海盗,8.8,976268,
96,海豚湾,9.3,383952,海豚的微笑，是世界上最高明的伪装。
97,美国往事,9.1,475692,
98,红辣椒,9.0,576270,梦的勾结。
99,七宗罪,8.8,1070703,
100,唐伯虎点秋香,8.8,1233532,
101,狩猎,9.1,475601,人言可畏。
102,幽灵公主,8.9,675437,
103,寄生虫,8.8,1558809,
104,甜蜜蜜,8.9,680406,
105,天书奇谭,9.2,339527,
106,蝙蝠侠：黑暗骑士崛起,8.9,820553,诺兰就是保证。
107,超能陆战队,8.8,1154462,Balalala~~~
108,茶馆,9.5,213415,
109,7号房的礼物,8.9,626672,《我是山姆》的《美丽人生》。
110,第六感,8.9,644773,
111,爱在黎明破晓前,8.8,810532,
112,爱在日落黄昏时,8.9,661601,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
113,头脑特工队,8.9,815945,愿我们都不用长大，每一座城堡都能永远存在。
114,哈利·波特与火焰杯,8.8,810151,
115,被嫌弃的松子的一生,8.8,779882,以戏谑来戏谑戏谑。
116,未麻的部屋,9.1,430715,
117,重庆森林,8.8,930138,
118,借东西的小人阿莉埃蒂,8.9,633225,曾经的那段美好会沉淀为一辈子的记忆。
119,菊次郎的夏天,8.9,679191,
120,入殓师,8.9,747167,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
121,剪刀手爱德华,8.7,1126827,
122,断背山,8.8,789104,每个人心中都有一座断背山。
123,勇敢的心,8.9,609061,
124,时空恋旅人,8.8,801854,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
125,驯龙高手,8.8,873785,和谐的生活离不开摸头与被摸头。
126,傲慢与偏见,8.7,949237,爱是摈弃傲慢与偏见之后的曙光。
127,无人知晓,9.1,376478,我的平常生活就是他人的幸福。
128,消失的爱人,8.7,1081649,年度最佳date movie。
129,倩女幽魂,8.8,841942,
130,玩具总动员3,8.9,603161,跨度十五年的欢乐与泪水。
131,新世界,8.9,534337,要做就做得狠一点，这样才能活下去。
132,花样年华,8.8,814556,
133,一个叫欧维的男人决定去死,8.9,575712,惠及一生的美丽。
134,色，戒,8.7,972059,假戏真情，爱欲深海
135,完美的世界,9.1,363348,
136,怪兽电力公司,8.8,777443,
137,教父3,9.0,437229,
138,小森林 夏秋篇,9.0,477576,那些静得只能听见呼吸的日子里，你明白孤独即生活。
139,阳光灿烂的日子,8.8,701342,
140,天使爱美丽,8.7,1026069,
141,侧耳倾听,8.9,524926,
142,哪吒闹海,9.2,311559,
143,九品芝麻官,8.8,802706,
144,被解救的姜戈,8.8,699235,热血沸腾，那个低俗、性感的无耻混蛋又来了。
145,请以你的名字呼唤我,8.8,832523,沉醉在电影的情感和视听氛围中无法自拔。
146,幸福终点站,8.8,647833,有时候幸福需要等一等。 
147,釜山行,8.6,1361752,揭露人性的丧尸题材力作。
148,神偷奶爸,8.7,1054961,Mr. I Don't Care其实也有Care的时候。
149,小森林 冬春篇,9.0,424097,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
150,喜宴,9.0,437592,
151,萤火之森,8.8,617730,触不到的恋人。
152,告白,8.8,749885,没有一人完全善，也没有一人完全恶。
153,七武士,9.3,238844,
154,玛丽和麦克斯,9.0,474793,你是我最好的朋友，你是我唯一的朋友 。
155,头号玩家,8.6,1529096,写给影迷，动漫迷和游戏迷的一封情书。
156,机器人之梦,9.1,454128,
157,模仿游戏,8.8,725632,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
158,惊魂记,9.0,361175,
159,大鱼,8.8,631629,
160,心灵奇旅,8.7,1154746,
161,背靠背，脸对脸,9.5,183407,
